Date,Price,Open,High,Low,Vol.,Change %
2/10/2017,1.2489,1.2497,1.2523,1.2438,,-0.04%
2/9/2017,1.2494,1.2541,1.2584,1.2488,,-0.34%
2/8/2017,1.2537,1.251,1.2552,1.2475,,0.22%
2/7/2017,1.251,1.2468,1.2548,1.2346,,0.33%
2/6/2017,1.2469,1.2493,1.2513,1.2426,,-0.13%
2/3/2017,1.2485,1.2527,1.254,1.2458,,-0.28%
2/2/2017,1.252,1.2659,1.2708,1.2516,,-1.04%
2/1/2017,1.2652,1.2582,1.2681,1.2544,,0.60%
1/31/2017,1.2577,1.2485,1.2599,1.2412,,0.76%
1/30/2017,1.2482,1.255,1.2603,1.2464,,-0.51%
1/27/2017,1.2546,1.2595,1.261,1.2516,,-0.32%
1/26/2017,1.2586,1.2634,1.2675,1.2555,,-0.35%
1/25/2017,1.263,1.2521,1.2641,1.249,,0.88%
1/24/2017,1.252,1.2535,1.2548,1.2417,,-0.09%
1/23/2017,1.2531,1.2361,1.2542,1.2355,,1.27%
1/20/2017,1.2374,1.2343,1.2382,1.226,,0.27%
1/19/2017,1.2341,1.2262,1.2344,1.2252,,0.69%
1/18/2017,1.2257,1.2414,1.2417,1.2253,,-1.26%
1/17/2017,1.2413,1.2049,1.2418,1.2016,,3.07%
1/16/2017,1.2043,1.2065,1.2087,1.1983,,-1.09%
1/13/2017,1.2176,1.2158,1.2234,1.2121,,0.12%
1/12/2017,1.2161,1.2208,1.2317,1.215,,-0.41%
1/11/2017,1.2211,1.2177,1.2272,1.2037,,0.29%
1/10/2017,1.2176,1.2163,1.2192,1.2105,,0.13%
1/9/2017,1.216,1.2269,1.2275,1.2124,,-0.98%
1/6/2017,1.228,1.2419,1.2433,1.2259,,-1.07%
1/5/2017,1.2413,1.2323,1.2434,1.2269,,0.78%
1/4/2017,1.2317,1.2237,1.2354,1.2219,,0.65%
1/3/2017,1.2237,1.2276,1.231,1.2199,,-0.31%
1/2/2017,1.2275,1.2345,1.2357,1.2272,,-0.49%
12/30/2016,1.2336,1.2262,1.2389,1.2243,,0.64%
12/29/2016,1.2257,1.2223,1.2277,1.2209,,0.27%
12/28/2016,1.2224,1.2269,1.2298,1.2199,,-0.37%
12/27/2016,1.227,1.2285,1.2293,1.2237,,-0.09%
12/26/2016,1.2281,1.2269,1.2309,1.226,,-0.07%
12/23/2016,1.229,1.2283,1.23,1.2228,,0.07%
12/22/2016,1.2282,1.2354,1.2381,1.2276,,-0.57%
12/21/2016,1.2352,1.2365,1.2393,1.2323,,-0.11%
12/20/2016,1.2365,1.2401,1.2415,1.2313,,-0.27%
12/19/2016,1.2398,1.2492,1.2504,1.2355,,-0.71%
12/16/2016,1.2487,1.242,1.2512,1.2382,,0.58%
12/15/2016,1.2415,1.2557,1.257,1.2375,,-1.18%
12/14/2016,1.2563,1.2659,1.2723,1.253,,-0.73%
12/13/2016,1.2656,1.2675,1.273,1.2651,,-0.15%
12/12/2016,1.2675,1.2578,1.2702,1.2556,,0.80%
12/9/2016,1.2574,1.2588,1.2622,1.255,,-0.08%
12/8/2016,1.2584,1.2626,1.2706,1.2546,,-0.29%
12/7/2016,1.262,1.2679,1.2685,1.2569,,-0.43%
12/6/2016,1.2675,1.2729,1.2776,1.2655,,-0.45%
12/5/2016,1.2732,1.2727,1.2747,1.2626,,0.10%
12/2/2016,1.2719,1.2592,1.2739,1.2568,,1.02%
12/1/2016,1.2591,1.2504,1.2698,1.2499,,0.70%
11/30/2016,1.2504,1.2492,1.2524,1.2418,,0.13%
11/29/2016,1.2488,1.2417,1.2527,1.2387,,0.60%
11/28/2016,1.2413,1.2471,1.2534,1.2384,,-0.49%
11/25/2016,1.2474,1.2453,1.2492,1.2415,,0.21%
11/24/2016,1.2448,1.2439,1.2497,1.24,,0.08%
11/23/2016,1.2438,1.2424,1.2471,1.2359,,0.13%
11/22/2016,1.2422,1.2497,1.2515,1.2383,,-0.54%
11/21/2016,1.249,1.2347,1.2514,1.231,,1.19%
11/18/2016,1.2343,1.2418,1.2439,1.23,,-0.58%
11/17/2016,1.2415,1.2443,1.2508,1.2408,,-0.21%
11/16/2016,1.2441,1.2456,1.2504,1.241,,-0.10%
11/15/2016,1.2453,1.2489,1.2531,1.238,,-0.26%
11/14/2016,1.2485,1.2594,1.2616,1.2441,,-0.90%
11/11/2016,1.2599,1.2554,1.2675,1.2524,,0.36%
11/10/2016,1.2554,1.2406,1.2586,1.2376,,1.21%
11/9/2016,1.2404,1.2378,1.255,1.2352,,0.22%
11/8/2016,1.2377,1.2392,1.2441,1.236,,-0.15%
11/7/2016,1.2396,1.2514,1.2527,1.2378,,-0.97%
11/4/2016,1.2517,1.2462,1.2559,1.2448,,0.46%
11/3/2016,1.246,1.2302,1.2496,1.2296,,1.33%
11/2/2016,1.2297,1.2243,1.2356,1.222,,0.46%
11/1/2016,1.2241,1.2242,1.2282,1.2205,,-0.01%
10/31/2016,1.2242,1.2182,1.2252,1.2143,,0.51%
10/28/2016,1.218,1.2164,1.2214,1.2114,,0.16%
10/27/2016,1.2161,1.2249,1.2273,1.2149,,-0.69%
10/26/2016,1.2246,1.219,1.2252,1.2155,,0.49%
10/25/2016,1.2186,1.2239,1.2244,1.2083,,-0.40%
10/24/2016,1.2235,1.2222,1.2251,1.2184,,0.02%
10/21/2016,1.2233,1.2254,1.2264,1.2171,,-0.14%
10/20/2016,1.225,1.2285,1.23,1.221,,-0.25%
10/19/2016,1.2281,1.2294,1.2332,1.2254,,-0.12%
10/18/2016,1.2296,1.2184,1.2327,1.2176,,0.94%
10/17/2016,1.2181,1.2191,1.2203,1.2136,,-0.03%
10/14/2016,1.2185,1.2259,1.2264,1.2168,,-0.54%
10/13/2016,1.2251,1.2209,1.2274,1.2132,,0.37%
10/12/2016,1.2206,1.2123,1.2327,1.2105,,0.73%
10/11/2016,1.2117,1.2363,1.2374,1.2089,,-1.95%
10/10/2016,1.2358,1.2438,1.2453,1.2344,,-0.60%
10/7/2016,1.2432,1.2616,1.2627,1.1635,,-1.44%
10/6/2016,1.2614,1.2746,1.2762,1.2601,,-1.05%
10/5/2016,1.2748,1.2729,1.2773,1.2685,,0.17%
10/4/2016,1.2726,1.2843,1.2862,1.2718,,-0.90%
10/3/2016,1.2841,1.2945,1.2949,1.2817,,-1.03%
9/30/2016,1.2975,1.2969,1.3024,1.2937,,0.06%
9/29/2016,1.2967,1.3019,1.3061,1.2953,,-0.38%
9/28/2016,1.3017,1.3024,1.3033,1.2979,,-0.02%
9/27/2016,1.302,1.2976,1.3028,1.2936,,0.35%
9/26/2016,1.2975,1.2959,1.2988,1.2916,,0.02%
9/23/2016,1.2972,1.3071,1.309,1.2914,,-0.77%
9/22/2016,1.3073,1.3034,1.3122,1.3026,,0.37%
9/21/2016,1.3025,1.2988,1.3049,1.2945,,0.28%
9/20/2016,1.2988,1.303,1.3066,1.2946,,-0.28%
9/19/2016,1.3025,1.2998,1.3093,1.2995,,0.23%
9/16/2016,1.2995,1.3237,1.3251,1.2996,,-1.83%
9/15/2016,1.3237,1.3235,1.3281,1.318,,0.03%
9/14/2016,1.3233,1.3194,1.3243,1.3138,,0.30%
9/13/2016,1.3193,1.3337,1.3345,1.3167,,-1.05%
9/12/2016,1.3333,1.327,1.3348,1.3236,,0.54%
9/9/2016,1.3262,1.3296,1.3338,1.3239,,-0.24%
9/8/2016,1.3294,1.3339,1.3377,1.3282,,-0.32%
9/7/2016,1.3337,1.3439,1.3443,1.3318,,-0.74%
9/6/2016,1.3437,1.3305,1.3447,1.3295,,1.03%
9/5/2016,1.33,1.3302,1.3377,1.3287,,0.09%
9/2/2016,1.3288,1.3269,1.3353,1.3251,,0.16%
9/1/2016,1.3267,1.314,1.3319,1.3126,,0.99%
8/31/2016,1.3137,1.3078,1.316,1.3065,,0.43%
8/30/2016,1.3081,1.3109,1.3121,1.3059,,-0.16%
8/29/2016,1.3102,1.3138,1.3142,1.3058,,-0.27%
8/26/2016,1.3137,1.3191,1.3281,1.312,,-0.39%
8/25/2016,1.3189,1.3233,1.3264,1.3165,,-0.32%
8/24/2016,1.3231,1.3196,1.3274,1.316,,0.30%
8/23/2016,1.3191,1.3137,1.3212,1.3127,,0.41%
8/22/2016,1.3137,1.3062,1.3158,1.3029,,0.48%
8/19/2016,1.3074,1.3173,1.3187,1.3022,,-0.70%
8/18/2016,1.3166,1.3043,1.3175,1.3033,,0.97%
8/17/2016,1.3039,1.3045,1.3087,1.2979,,-0.04%
8/16/2016,1.3044,1.2879,1.3054,1.2874,,1.28%
8/15/2016,1.2879,1.2922,1.2946,1.2864,,-0.30%
8/12/2016,1.2918,1.2957,1.3036,1.2903,,-0.28%
8/11/2016,1.2954,1.301,1.3029,1.2936,,-0.42%
8/10/2016,1.3009,1.3005,1.3096,1.299,,0.07%
8/9/2016,1.3,1.304,1.3053,1.2956,,-0.29%
8/8/2016,1.3038,1.3062,1.3098,1.3027,,-0.23%
8/5/2016,1.3068,1.3107,1.3176,1.3021,,-0.27%
8/4/2016,1.3103,1.3326,1.3346,1.3102,,-1.67%
8/3/2016,1.3326,1.3357,1.3373,1.328,,-0.22%
8/2/2016,1.3355,1.3181,1.3367,1.3171,,1.38%
8/1/2016,1.3173,1.3237,1.3274,1.3162,,-0.40%
7/29/2016,1.3226,1.3165,1.3302,1.3148,,0.48%
7/28/2016,1.3163,1.3223,1.3249,1.3117,,-0.43%
7/27/2016,1.322,1.3133,1.3237,1.3072,,0.71%
7/26/2016,1.3127,1.314,1.3177,1.3058,,-0.10%
7/25/2016,1.314,1.3113,1.3165,1.3095,,0.26%
7/22/2016,1.3106,1.3232,1.3291,1.3078,,-0.95%
7/21/2016,1.3232,1.3208,1.3277,1.3158,,0.18%
7/20/2016,1.3208,1.3111,1.3227,1.3062,,0.75%
7/19/2016,1.311,1.3255,1.3278,1.3072,,-1.09%
7/18/2016,1.3255,1.3169,1.3315,1.3166,,0.49%
7/15/2016,1.3191,1.3343,1.3482,1.3133,,-1.10%
7/14/2016,1.3338,1.3143,1.3472,1.3103,,1.47%
7/13/2016,1.3145,1.3248,1.3338,1.3132,,-0.73%
7/12/2016,1.3242,1.2991,1.3297,1.2969,,1.92%
7/11/2016,1.2993,1.2951,1.302,1.285,,0.30%
7/8/2016,1.2954,1.2909,1.3019,1.2878,,0.36%
7/7/2016,1.2907,1.2931,1.3049,1.2875,,-0.17%
7/6/2016,1.2929,1.3019,1.303,1.2799,,-0.71%
7/5/2016,1.3021,1.3289,1.3296,1.2999,,-2.02%
7/4/2016,1.3289,1.3253,1.3342,1.3231,,0.21%
7/1/2016,1.3261,1.3311,1.3351,1.3245,,-0.34%
6/30/2016,1.3306,1.343,1.3498,1.3204,,-0.88%
6/29/2016,1.3424,1.3341,1.3535,1.3285,,0.63%
6/28/2016,1.334,1.3225,1.3422,1.3198,,0.92%
6/27/2016,1.3218,1.3565,1.3567,1.312,,-3.36%
6/24/2016,1.3678,1.4873,1.5021,1.3228,,-8.07%
6/23/2016,1.4878,1.4708,1.4949,1.4704,,1.19%
6/22/2016,1.4703,1.4652,1.4776,1.4641,,0.40%
6/21/2016,1.4645,1.47,1.4783,1.4614,,-0.33%
6/20/2016,1.4694,1.4356,1.472,1.4353,,2.35%
6/17/2016,1.4356,1.4204,1.439,1.4196,,1.09%
6/16/2016,1.4201,1.4205,1.4255,1.4011,,-0.01%
6/15/2016,1.4202,1.4114,1.4221,1.4091,,0.62%
6/14/2016,1.4114,1.4274,1.4274,1.4091,,-1.10%
6/13/2016,1.4271,1.4258,1.4329,1.4114,,0.11%
6/10/2016,1.4256,1.4459,1.4474,1.4179,,-1.39%
6/9/2016,1.4457,1.4504,1.4529,1.4446,,-0.30%
6/8/2016,1.4501,1.4544,1.4601,1.4497,,-0.28%
6/7/2016,1.4542,1.4441,1.4644,1.4434,,0.73%
6/6/2016,1.4436,1.4515,1.4525,1.4353,,-0.57%
6/3/2016,1.4519,1.4423,1.4583,1.4398,,0.67%
6/2/2016,1.4422,1.4416,1.4474,1.4404,,0.06%
6/1/2016,1.4414,1.4478,1.4508,1.4386,,-0.44%
5/31/2016,1.4477,1.4642,1.4726,1.4463,,-1.10%
5/30/2016,1.4638,1.4626,1.4643,1.4586,,0.12%
5/27/2016,1.462,1.4671,1.469,1.4603,,-0.30%
